Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,015351109,ALXN ,"2,486,639","279,249,559.70",0.237,Alexion Pharmaceuticals Inc,Common Stock,Health Care,07/02/2020
QQQ,92343E102,VRSN ,"1,301,063","274,277,091.03",0.233,VeriSign Inc,Common Stock,Information Technology,07/02/2020
QQQ,983919101,XLNX ,"2,738,111","260,914,597.19",0.221,Xilinx Inc,Common Stock,Information Technology,07/02/2020
QQQ,45337C102,INCY ,"2,447,723","260,609,067.81",0.221,Incyte Corp,Common Stock,Health Care,07/02/2020
QQQ,09061G101,BMRN ,"2,036,299","258,161,987.22",0.219,BioMarin Pharmaceutical Inc,Common Stock,Health Care,07/02/2020
QQQ,256746108,DLTR ,"2,671,334","250,063,575.74",0.212,Dollar Tree Inc,Common Stock,Consumer Discretionary,07/02/2020
QQQ,016255101,ALGN ,"886,897","248,269,077.21",0.211,Align Technology Inc,Common Stock,Health Care,07/02/2020
QQQ,83088M102,SWKS ,"1,878,660","241,257,517.20",0.205,Skyworks Solutions Inc,Common Stock,Information Technology,07/02/2020
QQQ,156782104,CERN ,"3,427,152","239,592,196.32",0.203,Cerner Corp,Common Stock,Health Care,07/02/2020
QQQ,217204106,CPRT ,"2,643,697","221,700,430.42",0.188,Copart Inc,Common Stock,Industrials,07/02/2020
QQQ,177376100,CTXS ,"1,390,080","208,595,404.80",0.177,Citrix Systems Inc,Common Stock,Information Technology,07/02/2020
QQQ,12514G108,CDW ,"1,602,573","187,677,324.03",0.159,CDW Corp/DE,Common Stock,Information Technology,07/02/2020
QQQ,874054109,TTWO ,"1,283,095","185,278,918.00",0.157,Take-Two Interactive Software Inc,Common Stock,Communication Services,07/02/2020
QQQ,57772K101,MXIM ,"3,002,304","181,339,161.60",0.154,Maxim Integrated Products Inc,Common Stock,Information Technology,07/02/2020
QQQ,M22465104,CHKP ,"1,610,134","174,844,451.06",0.148,Check Point Software Technologies Ltd,Common Stock,Information Technology,07/02/2020
QQQ,89677Q107,TCOM ,"5,888,953","156,410,591.68",0.133,Trip.com Group Ltd ADR,American Depository Receipt,Consumer Discretionary,07/02/2020
QQQ,958102105,WDC ,"3,374,801","143,226,554.44",0.122,Western Digital Corp,Common Stock,Information Technology,07/02/2020
QQQ,30212P303,EXPE ,"1,525,372","129,488,829.08",0.110,Expedia Group Inc,Common Stock,Consumer Discretionary,07/02/2020
QQQ,90384S303,ULTA ,"634,077","129,091,736.43",0.110,Ulta Beauty Inc,Common Stock,Consumer Discretionary,07/02/2020
QQQ,64110D104,NTAP ,"2,490,567","108,464,192.85",0.092,NetApp Inc,Common Stock,Information Technology,07/02/2020
QQQ,35137L105,FOXA ,"3,858,378","102,478,519.68",0.087,Fox Corp,Common Stock,Communication Services,07/02/2020
QQQ,G5480U120,LBTYK ,"4,634,352","101,955,744.00",0.087,Liberty Global PLC,Common Stock,Communication Services,07/02/2020
QQQ,35137L204,FOX ,"2,939,887","78,053,999.85",0.066,Fox Corp,Common Stock,Communication Services,07/02/2020
QQQ,G5480U104,LBTYA ,"2,052,321","46,197,745.71",0.039,Liberty Global PLC,Common Stock,Communication Services,07/02/2020
